x y
16787 18
3807 14
20302 22
9336 17
12147 19
16267 22
9725 14
665 20
14185 18
20639 22
10946 12
7835 20
18853 17
4916 21
9047 21
5473 22
14992 17
10839 18
25318 20
10175 24
18201 16
15581 27
6280 19
3952 16
8248 19
22086 23
4635 20
17722 16
12706 21
5516 20
535 24
9860 24
17223 17
226 22
11668 12
20609 20
15075 22
16428 30
17707 27
17553 22
15283 28
520 20
3727 24
8910 17
2549 18
12990 25
6983 23
8396 24
20434 17
4902 25
10826 19
24920 19
970 26
12576 19
24447 21
16720 11
16972 14
6850 19
24657 16
20049 22
14051 21
22028 23
5103 22
24384 20
4640 21
10861 15
15790 16
25273 20
9861 22
12747 23
13608 23
24879 17
7238 19
8353 21
3250 15
11589 24
10039 14
2601 17
24959 24
17345 21
11231 16
1773 21
21465 23
10065 24
19946 21
24781 19
7229 18
24024 27
22263 21
25329 22
13235 22
9494 26
444 21
7185 21
20503 22
15396 27
10231 22
3650 18
14941 12
10478 22
13624 23
14262 17
22463 20
11706 15
16656 23
2949 20
12061 23
7493 20
17840 24
19116 23
25249 18
1568 27
20685 17
9337 17
4806 24
13026 24
11192 21
11416 17
17972 29
3070 22
9992 20
21200 26
15952 16
23890 20
21863 22
6880 14
18928 20
14948 23
20698 13
19370 24
25392 20
1386 17
2702 16
19180 26
19325 17
20746 18
23710 18
25077 18
19161 23
14894 21
23491 20
17316 25
3267 19
2390 18
22573 21
25284 17
8194 24
22134 23
22794 12
10579 21
15427 19
17758 19
12654 21
21996 22
14673 28
14277 23
2753 16
7572 22
19482 27
15668 17
3374 23
20310 18
12291 17
3997 21
9131 18
4863 16
12080 19
16334 20
1961 21
6818 24
13496 15
16654 22
11812 22
2844 24
15013 23
10825 23
5244 24
9791 24
6565 15
11709 23
11587 24
8649 18
4605 19
16380 19
13924 22
16608 21
4930 20
17091 19
21551 22
17341 21
21459 14
9242 18
22408 18
14772 22
5891 14
9307 19
22618 18
9306 14
25034 20
7974 20
1776 21
22453 28
17694 20
9159 24
4988 20
3960 21
8005 14
4831 17
24975 18
7540 20
5002 20
5607 22
5348 18
8014 20
187 21
19770 22
5625 23
4974 17
22098 19
12579 21
16199 17
14912 25
17544 20
9867 25
13584 18
13322 22
12581 23
15770 18
10738 18
21214 25
8604 22
17885 23
7192 15
4759 13
9129 19
21530 26
9007 27
2323 20
18016 24
1531 23
24967 22
6400 20
5141 21
18970 17
22137 22
15818 18
24591 23
23451 23
25079 23
23953 17
16375 19
8309 20
14957 14
21861 23
20121 25
21704 16
14844 15
3301 25
25015 22
6305 22
7803 19
22770 24
554 25
23369 26
6167 21
20089 22
7880 22
8751 17
19908 14
16722 21
18476 24
10601 18
10523 16
15372 23
13575 20
478 22
16826 20
10398 16
8850 19
5216 20
21866 19
24569 26
6329 24
2713 20
24706 14
948 21
24505 23
1520 24
6190 23
24919 23
14509 24
17523 25
7222 19
14110 19
9954 27
14332 20
19413 19
14897 21
1082 15
2437 16
13974 21
12407 24
6919 22
4221 19
9164 18
18717 18
19705 18
9532 14
1067 19
5662 20
21708 17
5050 25
20449 18
7209 25
12184 19
2786 22
4982 23
19184 18
14808 24
5172 23
18325 20
11248 23
6282 18
12047 21
2205 25
15602 20
2516 23
11423 20
17814 19
20096 22
17582 24
15295 23
25068 13
13921 14
5456 26
19567 22
7356 19
12245 16
23167 18
16297 23
17449 16
22919 19
1871 22
19620 22
14999 9
23179 23
22961 20
13499 24
4933 21
1189 21
19605 17
21412 14
8817 20
24164 16
430 20
14592 21
1634 21
13141 15
21335 21
16074 19
18639 13
20472 20
22992 18
5238 23
4935 19
410 20
14891 19
3074 21
8531 18
11006 21
22110 22
9449 27
3071 19
8974 18
15274 22
17420 23
1440 22
15458 24
18766 23
15527 17
8271 25
5948 18
5225 18
18410 23
4639 24
22716 17
537 21
15543 20
7100 24
3444 31
5566 24
1125 20
8779 20
319 22
18400 16
15080 15
1692 19
6840 11
20935 20
10903 23
11802 18
3640 18
3046 23
4820 26
2019 22
24541 15
19923 19
10815 17
20242 21
25277 24
6715 24
12300 21
12666 17
11107 14
6710 25
14113 18
13076 24
14662 13
5325 14
9525 20
21199 20
16762 15
3949 20
13580 22
10235 19
3889 25
14314 20
12771 22
12164 19
13699 18
21283 19
23239 16
14183 20
21414 22
2116 22
8384 16
230 22
10290 25
24316 17
18851 19
14075 22
13780 22
7014 21
17348 17
10436 15
485 19
9245 21
21327 23
11388 16
631 22
9834 25
23351 24
326 17
2108 23
1725 19
8793 22
25028 10
8895 29
19681 23
5668 16
20732 26
3622 21
12913 21
21042 9
16058 23
13168 25
18769 26
7429 24
18757 22
6648 21
4350 20
10343 18
2289 18
23984 26
13507 26
3366 22
416 18
847 17
8660 16
13911 20
10339 21
14766 22
8927 21
4359 21
23361 26
12469 19
3273 21
15236 17
12326 23
8275 17
19250 20
2785 23
724 12
24857 20
16711 20
20661 22
17489 16
8957 24
11445 16
4606 21
13455 16
22905 20
14281 21
17969 19
20260 21
14863 18
23753 19
20559 26
15654 17
19269 23
11752 19
777 21
21585 22
1821 19
8908 20
4035 18
10939 19
21656 25
10174 15
21765 18
2399 21
24462 23
7951 11
12299 21
19534 22
11938 14
24483 22
4743 20
2997 25
331 21
21130 23
15586 20
17571 22
23177 22
15358 24
16816 19
23774 17
13062 18
12243 19
8857 21
5202 20
20533 17
5408 19
6391 26
20829 18
21825 25
12200 19
13963 19
10482 18
5286 21
16070 23
9189 17
2063 22
3599 15
6358 19
1135 15
7599 24
25001 18
21083 18
10529 17
15209 17
11077 20
11618 22
17989 19
13114 27
2104 20
14935 16
16562 21
2883 19
161 17
5411 25
22073 20
17988 21
14627 19
1623 20
4242 22
11466 20
25358 24
11683 25
17647 19
18021 16
16917 21
25110 15
20466 19
5454 22
8653 18
18502 22
7884 18
18913 29
6979 16
21693 21
24775 21
11496 21
20056 19
5100 19
3775 23
8813 18
1467 26
11560 18
17535 24
16180 18
14170 13
8657 20
2079 15
3579 22
15718 20
7636 18
22973 21
8095 23
11652 19
10405 25
5187 13
19745 18
25344 18
20290 21
4396 20
1014 16
219 18
4275 25
3753 19
23015 17
13210 23
24630 21
10733 19
4159 18
7351 23
20911 19
799 21
17812 16
14227 25
9461 15
2623 17
14697 21
23416 21
16000 29
3712 17
21470 17
20134 22
11778 23
20060 18
24205 20
19624 25
21108 23
17010 24
17755 20
9827 21
5184 17
22406 20
19115 16
20328 26
9660 20
13588 22
8986 22
12775 23
3621 26
18461 22
5126 21
1139 22
21052 22
20835 21
24687 19
7357 22
6742 23
4316 23
17256 22
18422 24
24077 18
10766 18
9420 14
11841 18
15569 23
20413 14
19372 17
3662 24
6656 25
19220 23
1771 21
22586 14
5591 21
8017 20
20799 20
378 21
6419 14
16832 23
11475 16
21012 17
12819 24
7657 23
14239 20
5127 15
23517 26
1737 24
323 16
16155 19
11631 30
22857 23
5900 24
21877 22
10649 16
23219 16
24201 23
1575 18
7106 18
162 21
4921 18
17058 16
20906 20
2162 18
4437 15
23484 22
6639 16
4187 18
11544 15
22438 16
18483 20
21641 14
16763 24
8079 22
6808 13
16723 15
22015 28
21794 17
19888 25
20502 15
2017 19
13072 17
2349 25
6929 22
15768 24
18673 20
21242 23
16292 19
3903 27
4828 14
19073 17
13041 28
10976 23
19711 25
17924 20
10160 18
24565 18
19929 20
15117 23
5669 19
16093 21
23758 17
21388 15
24826 21
18130 23
18187 21
6774 25
7186 20
21143 20
22128 27
11194 20
24046 20
13433 14
2474 21
22935 18
4491 25
15897 22
9838 19
7852 20
13073 15
435 17
12270 22
15341 21
24626 14
21634 14
1934 20
2783 21
14825 17
20778 19
19845 22
14084 17
13163 17
13894 15
8183 27
13628 21
2533 20
24841 19
24839 22
10212 17
1395 17
8082 23
17309 19
1448 19
11410 19
2975 16
15060 22
9788 24
6301 24
11227 25
3038 22
13273 18
2295 21
15535 21
11987 22
18150 21
3659 17
20489 24
21510 23
2111 20
23788 22
3668 21
4302 21
16535 15
24002 21
11114 21
24380 25
25057 19
4566 23
12146 14
12592 20
11673 15
5776 21
18448 18
24489 16
284 21
24644 23
14529 20
2253 17
12533 21
8733 18
6772 20
10224 21
6830 22
23129 15
16694 24
13849 18
18924 19
16757 22
18174 22
18277 23
5218 15
14049 17
1765 15
21606 22
24571 18
14399 26
14728 22
20549 21
19690 21
6884 25
22387 19
21060 22
18943 19
24713 23
15838 26
23894 16
20063 21
2666 25
19651 20
8581 20
6613 20
16869 22
14469 14
20305 18
17567 20
21605 19
6837 20
16327 20
15223 20
16164 12
928 20
17150 15
4149 23
20216 25
5332 16
7684 19
24984 18
7554 12
12022 20
2712 18
3409 21
16471 17
6785 14
1016 22
21368 22
20390 19
24314 21
24692 20
21333 15
5464 20
19438 17
6787 16
15011 21
19637 17
10808 19
20426 27
1261 19
20941 18
15234 19
14361 26
11994 18
11647 19
7563 15
22041 23
13536 22
2447 19
7977 27
5482 24
8374 21
9250 14
107 19
10473 21
16976 19
10871 13
12821 19
3512 23
9167 21
23751 23
25374 18
5171 22
7462 17
166 19
25297 23
13524 13
2910 21
13494 19
10688 17
6128 20
455 23
17781 13
2793 18
13105 20
8100 24
4690 21
8037 16
6221 16
5505 17
3607 18
12829 20
13184 16
16802 17
21016 19
10037 25
10276 17
5073 21
4936 15
11049 21
13143 15
22107 20
14466 22
9878 19
11434 15
14018 20
12938 18
24509 25
6580 20
21183 20
16842 19
9696 22
16579 17
9726 18
865 23
17906 18
7151 18
22343 21
11436 16
4447 20
2348 26
513 15
7524 16
18953 28
1134 21
14913 15
25341 20
7576 25
23666 22
8836 18
22795 22
1865 17
9122 17
22114 23
4662 22
19939 24
22031 15
10877 21
5713 26
497 19
3077 23
246 16
20464 19
6655 20
21657 20
13573 18
11505 24
17250 20
9270 20
3593 21
19351 21
14287 19
345 23
4239 13
14542 23
23108 20
2840 22
4064 24
21798 16
7489 22
17356 15
25179 18
215 28
23938 14
23366 20
10348 16
2398 16
9534 23
12158 20
2510 22
756 18
10565 17
1317 15
14931 22
11174 22
6633 17
3917 18
24214 20
12404 20
25136 31
23741 20
15143 14
12383 25
22640 22
17322 19
5139 18
19778 21
23977 21
24433 18
11031 24
5347 17
16038 22
17060 21
14248 16
18242 20
10112 15
14076 27
5790 23
17178 21
11226 17
18508 23
1452 27
9631 23
2090 19
13659 17
3971 21
1853 21
18656 27
20418 16
7487 19
21655 24
2218 11
15273 20
14883 15
5786 18
19710 15
23513 16
1102 25
24943 20
3271 21
3724 17
14497 23
8388 18
13040 23
21952 19
24994 11
5128 15
7794 16
44 18
16814 24
19965 18
8140 23
24974 28
20043 23
14515 23
25255 14
5359 20
17312 16
12853 17
25301 22
8904 22
12465 24
7414 17
22146 16
12258 19
6554 21
5756 21
2681 18
8794 18
16100 16
4225 19
20000 25
10493 21
6442 18
8094 22
17896 19
18055 24
3835 20
3235 20
14320 16
16870 19
4595 22
17627 23
23134 21
1447 18
23706 16
24007 26
2568 19
15383 29
23472 25
8942 19
11805 13
18062 17
9690 18
17352 18
16766 16
9362 18
18796 21
15457 23
1630 17
21572 24
14127 23
25274 17
3002 24
9520 28
2203 21
610 14
3163 24
8479 22
7135 20
9694 20
15477 19
21211 21
9436 17
5897 22
15585 15
12541 21
12349 21
20738 23
1878 22
10841 20
19127 24
15827 17
22491 17
1763 20
18079 21
5981 20
3025 24
11285 24
12210 24
19541 17
3722 13
14269 17
7388 24
4434 19
24745 17
13633 19
1774 29
21540 19
1797 21
3988 21
11229 23
17092 23
19529 23
17868 20
184 28
18158 21
8240 23
5901 25
24870 17
21918 18
15889 20
25313 17
17428 20
3913 20
2571 14
10757 19
15073 22
3961 16
2581 20
2426 16
18963 12
8569 23
18707 21
360 22
6165 18
21803 17
1293 23
3482 16
8161 17
15221 18
7121 23
8754 17
16450 23
17556 24
18743 23
17687 22
14951 16
7771 19
9086 14
3239 15
11014 20
15922 22
9032 21
1677 19
19979 20
16331 17
7742 27
359 22
13444 16
6938 23
24809 20
8757 20
16206 17
7249 20
9750 20
6067 17
23242 18
15803 21
23943 22
18438 20
18027 16
4457 21
4077 20
24053 17
1209 21
16498 18
9424 25
23597 20
545 21
22599 18
21236 16
16939 25
23719 22
19134 14
11748 18
14333 21
366 24
20255 28
5833 14
11760 23
3013 26
8564 23
4650 19
5844 26
23197 27
1473 19
15213 25
19587 23
6577 13
8943 27
22641 22
9732 19
14280 16
18140 21
9103 20
9153 17
17260 18
11047 21
18222 17
8144 30
16837 14
4177 21
20850 17
23582 16
23464 17
17197 17
3031 22
9195 19
17724 19
666 22
863 21
15321 21
16604 18
4651 22
17111 22
14667 19
7827 21
12306 17
24855 22
4144 17
5352 16
25191 25
15411 24
17426 18
12461 22
19429 22
24313 14
17382 26
4329 22
25208 20
21770 20
24091 21
15367 21
21066 18
8593 27
13554 23
9604 16
9634 15
14946 19
16611 21
16971 21
23446 22
21184 22
1500 22
2582 16
10609 17
19286 22
1195 17
10812 22
24818 31
12370 25
23024 24
16338 21
11095 23
23170 20
10213 22
5687 19
895 19
5493 17
15058 18
5789 14
1124 18
13119 17
15039 18
23541 16
6741 25
14140 23
4380 23
24819 20
22817 28
18059 21
22298 16
8941 19
24529 18
19241 17
18629 22
9036 23
4089 23
21259 22
10053 21
15791 21
6101 22
13028 20
8386 17
23799 27
14774 24
23538 18
17654 14
1752 18
16798 17
18951 21
17996 20
24829 22
5107 20
10400 19
9269 24
21265 25
20409 19
6733 25
1937 23
17114 25
12160 18
23331 18
18040 20
13877 28
5059 22
3431 23
3207 20
18747 20
7789 19
4991 22
25416 27
16234 16
17910 15
9684 17
18401 16
19590 23
19216 22
14642 17
10608 19
19097 15
20820 15
20618 21
22317 18
10867 15
8787 16
19213 15
24625 21
4878 22
8734 17
13038 22
11450 20
1850 25
5511 20
22481 22
4968 17
20345 22
17678 19
12528 25
15189 20
16461 17
16347 23
5120 23
5941 22
14488 21
6706 13
7727 19
21329 17
6927 18
12423 22
18986 24
10442 15
8659 11
6117 20
10964 15
22808 22
25267 18
16695 16
634 15
11364 21
11885 23
25319 15
9338 26
16080 23
8453 24
3003 17
11572 24
15488 11
14557 13
17818 24
3316 20
21319 12
24111 19
7276 9
6531 22
18880 18
23382 22
7129 19
4780 17
2993 13
11039 22
15238 23
22907 17
1255 18
21125 14
17636 21
16393 15
3841 20
23859 20
12118 18
6477 22
21160 21
7446 21
22582 22
19807 22
18451 18
11185 18
7911 17
23072 22
4280 17
19395 18
212 17
13836 19
3990 14
14958 22
953 18
11144 23
15960 17
20897 21
9134 22
11281 19
19138 23
24088 18
16153 17
21029 20
6602 27
5843 21
4314 24
7831 18
446 18
15317 24
13907 16
21900 20
1226 21
13681 23
10886 17
859 22
19795 19
20637 22
6878 19
11837 21
2966 22
19697 18
22976 17
21553 13
11613 19
6961 17
2690 19
8268 19
5468 13
16602 13
19934 19
15144 13
23252 21
18662 17
2132 28
14245 22
5649 14
4879 20
15033 16
10013 18
2133 17
4656 21
22576 25
3096 23
8785 21
16378 24
18235 25
14196 17
1171 20
20936 20
22635 20
11461 18
12153 14
24624 23
320 25
9298 23
24647 26
11623 19
1889 22
10788 16
10791 17
21342 27
8338 20
18540 21
8518 14
16840 16
20770 14
7997 25
8551 23
19435 23
17934 22
7614 24
14412 19
4352 21
6707 23
23062 21
12161 17
16828 17
1416 21
10762 23
6140 15
15385 20
12603 21
23857 17
17443 21
19289 18
20839 19
8638 20
309 15
2854 26
3591 18
13602 24
3313 17
20032 24
4464 24
8554 19
14918 20
17845 16
21617 20
18473 14
3144 18
14892 22
5642 17
18805 23
3824 21
22540 21
368 26
