x y
8811 16
6291 13
9874 11
6678 6
6292 16
8704 11
2365 17
3275 12
7394 13
1609 11
9143 15
6863 14
539 16
489 15
1035 17
9693 11
3426 9
10319 10
4274 14
5521 14
6932 18
10794 12
7974 9
6484 12
12094 14
3644 12
1906 14
2803 12
739 17
3047 9
8965 12
10443 11
10511 12
5684 15
5615 16
1170 13
9260 14
8364 15
10611 8
1375 11
8146 13
1008 13
100 14
8300 10
7931 14
11927 11
3334 13
12357 7
12532 17
5694 9
2863 11
4112 10
10769 12
1843 14
5044 8
9015 13
2807 8
9071 15
9530 12
1064 10
2477 10
9293 14
11190 12
1715 11
936 13
10936 7
6735 12
8547 12
2558 15
2707 11
930 9
3877 8
9137 11
5705 14
9165 12
8585 12
4109 13
11203 9
11745 9
1692 17
9837 16
2864 9
11017 14
724 14
5282 14
8151 12
8460 12
11288 10
7219 13
6662 12
9398 12
1502 8
12227 11
7755 6
10172 11
3231 9
7268 12
446 6
7178 13
9380 15
5305 9
1405 14
9205 10
7604 10
8184 11
10220 11
1708 13
11735 10
131 13
6217 12
5886 9
2294 9
11488 10
7091 10
5985 8
5287 11
10201 14
11835 17
971 11
9175 14
8074 14
8594 12
8556 10
93 12
1899 13
907 8
5276 14
2078 9
2986 13
8040 17
10840 14
5212 8
6471 16
10515 13
10553 13
10636 12
10310 14
3370 11
6555 21
5383 15
2049 14
1844 13
5649 15
1320 11
2971 16
3212 12
7454 12
1815 11
4028 13
11769 14
7469 14
2876 12
2155 9
2892 10
8100 16
10959 12
7874 13
10946 14
667 12
7787 10
1007 9
11965 13
11118 11
11560 13
6033 8
166 13
3970 12
4072 7
6815 12
6696 10
10722 11
6365 10
3011 9
5821 10
7275 15
2777 13
4678 14
8228 11
3069 8
10601 14
7473 12
4958 14
2474 11
2172 13
6761 9
3631 10
2077 17
5194 12
4209 10
4299 13
10934 10
9990 11
4148 16
8157 13
5258 13
6210 15
5856 15
9238 11
10535 14
11309 15
2336 16
8013 13
2261 15
11413 13
3911 7
4952 13
2586 14
8838 7
241 16
3633 11
1322 14
1939 12
8203 13
10410 13
3083 12
11131 12
10351 14
9784 14
7389 17
6821 13
4321 13
12117 10
4042 11
4394 14
4003 10
7327 8
417 12
11758 15
8643 9
11061 16
4731 12
1211 11
11220 11
1796 15
5716 13
3577 13
11440 12
5494 13
6323 12
589 14
923 12
9538 12
3879 8
6106 13
1607 12
4256 9
10329 12
4470 14
4310 12
12448 17
5147 14
6658 14
4893 5
10624 10
5496 10
1173 11
5803 16
557 12
4160 10
459 14
6772 11
9763 8
9993 12
6233 9
7176 13
3305 13
11328 18
10409 13
10810 10
4683 14
142 12
9823 13
9638 12
7165 6
8496 15
664 14
10056 11
5059 11
4846 16
12036 6
7093 8
10160 13
2227 15
4166 16
1974 11
3712 12
6231 8
5378 16
1743 11
2505 13
4653 11
8132 17
8155 13
7263 14
951 9
4565 13
4931 12
9984 13
9399 11
10402 17
8657 10
11208 12
8982 12
4182 8
3951 15
11109 11
7579 9
11599 13
5193 13
3146 14
11133 13
1838 9
5238 14
135 13
9662 14
9263 7
6760 10
6100 16
6419 11
3452 13
6138 9
7412 14
9701 16
3679 10
6421 15
5813 9
1014 10
10494 11
8603 14
2207 16
3827 12
556 10
5617 12
11363 16
9558 13
8565 11
3690 11
9044 11
6564 11
7838 16
11631 10
3771 9
889 8
4756 10
8508 15
3516 12
8583 11
3699 15
4623 14
7535 10
10628 14
4059 11
8947 13
11279 9
8357 9
5715 15
6353 11
3770 13
5829 9
4969 13
9182 14
9189 11
469 9
8182 14
1820 9
7239 17
7846 16
440 17
4231 11
8218 11
1301 10
2030 7
8727 15
6628 12
5850 11
3868 7
7005 9
12139 15
10634 11
7113 14
9206 11
10388 11
925 14
3745 10
2992 10
2218 12
44 14
11134 14
458 6
4207 14
4806 14
11880 10
11184 14
9162 13
5781 12
1942 13
10858 17
7475 11
924 10
7777 13
5677 13
3891 11
5220 14
4361 16
5745 8
3539 9
1268 12
12390 12
3659 13
8372 9
12338 11
7286 13
11051 9
3780 13
11877 13
4365 13
11217 13
2907 17
8874 9
8389 8
7451 19
10326 10
9813 14
1424 15
4761 15
10371 15
4540 11
20 19
1225 9
6975 16
5366 12
8070 10
4656 13
9184 12
5050 17
7789 9
12356 15
5093 11
7035 13
6701 17
866 13
1298 5
9114 14
2515 9
7636 15
1401 12
6930 10
12526 11
10613 8
3767 11
5321 13
6583 14
6665 11
6310 11
10542 11
5693 9
5630 16
470 13
1794 13
1029 11
3668 10
7894 14
570 10
111 10
12209 7
1402 15
3711 11
39 11
3521 13
5919 15
7164 10
829 15
1647 11
4317 13
4581 11
10086 10
9075 15
7742 10
4529 9
2963 10
10640 14
10561 12
3174 11
5974 7
4629 16
11657 13
121 16
1970 12
4346 10
642 10
12046 13
442 14
4150 11
1315 13
11891 15
4588 15
7806 15
5066 12
10133 16
10655 9
4930 10
12167 15
1612 17
6594 12
8521 12
6711 16
4278 12
129 11
7220 14
4097 9
1163 14
630 7
12519 13
5669 11
8018 8
1503 9
3685 12
2076 4
3814 9
9089 7
10580 11
10721 13
126 13
3478 13
329 9
5912 13
4127 9
2434 12
6911 7
6943 11
4902 14
721 11
2721 16
11713 10
11308 13
1730 13
8831 16
6181 15
4899 16
6197 12
5648 14
712 8
1281 11
10808 15
5098 10
3651 13
4654 13
847 16
8847 10
7961 12
10397 13
5963 13
3860 12
6382 13
11094 13
2034 8
10864 10
4945 5
12103 17
3586 15
7492 12
7435 14
7384 13
773 10
9027 8
8805 19
3614 14
7813 8
7938 12
7560 11
313 12
6150 12
1099 9
283 14
10072 10
8291 12
8180 7
11556 16
11291 9
4386 8
8680 13
12251 14
6509 16
8283 11
3003 8
199 14
8274 11
636 8
3471 13
4950 12
10904 9
8784 15
7126 14
1091 13
7370 6
9061 14
3655 11
6531 8
11706 9
4797 10
18 12
7461 9
5296 10
11261 12
2608 11
12417 12
6965 10
5470 15
5960 12
8189 13
7863 9
9645 7
2391 12
5042 9
5529 14
3369 12
608 10
1539 10
5748 13
10356 10
2288 13
1921 11
6962 7
1235 14
4192 13
10805 11
11718 11
8822 16
10464 12
6610 14
7966 11
5944 5
6642 13
7803 12
4983 13
7099 11
11582 12
10420 7
2753 14
7103 15
9783 14
9578 17
255 14
3549 7
2609 15
6261 8
7769 13
4916 12
8435 11
1800 12
10245 8
5765 14
8878 11
5600 14
3849 8
3294 14
288 11
9318 12
92 17
4506 8
10224 16
1667 15
10749 10
9086 15
4661 17
12137 9
5801 16
281 9
11372 15
4580 6
3730 11
2453 12
161 11
6820 10
12250 9
8864 14
2816 10
11977 8
3983 13
6908 12
5653 11
10951 17
3885 19
6118 14
618 13
6659 10
8825 11
8342 7
2415 15
7534 8
5673 15
7043 13
8592 8
3739 13
3064 11
12184 15
12132 13
3810 18
9084 12
11022 10
8061 11
12131 17
675 9
6473 13
259 13
10517 13
10177 17
5043 15
11170 6
8829 17
10407 14
3023 9
5540 17
666 9
6955 13
2151 16
2912 12
3265 12
5165 16
11478 16
6900 11
11795 12
10914 12
4804 10
8187 10
8366 13
4900 15
5898 10
11098 13
12439 15
6221 14
7353 10
6535 13
3677 14
2048 17
3697 13
10524 11
1753 11
8158 10
700 8
2452 12
10363 13
10607 11
4651 15
63 13
10232 10
6581 9
3173 11
708 13
6214 15
4849 16
1339 15
8086 9
9748 15
7333 9
9947 10
5887 16
6849 11
9248 11
3495 11
2896 12
1293 14
5631 13
7095 7
9001 14
8138 12
6895 11
12371 9
4392 13
279 11
7136 10
3729 13
5900 16
12012 11
2004 13
2927 13
9741 14
5843 14
7255 14
274 12
11365 9
5688 13
387 12
86 13
3020 10
4592 8
7396 15
10247 15
2868 11
12525 12
7179 10
10481 10
4477 8
4801 13
6710 15
990 11
4200 11
8747 7
805 8
3113 8
7920 14
10735 10
8436 10
9392 13
1378 12
2127 14
3217 12
10576 15
6869 12
5861 16
5999 10
2064 11
196 16
4219 8
1797 15
10728 17
4691 17
9316 12
11859 12
8559 10
3472 11
2575 11
9041 12
5477 16
1625 14
8994 8
12355 9
11806 14
738 12
10477 11
12144 16
8068 12
10327 15
10841 12
12044 8
6984 15
8367 13
7940 13
2853 16
823 14
11100 8
5177 18
6846 19
2839 13
4038 8
10548 12
12432 12
1385 13
7471 11
10604 11
8927 12
3236 12
1373 9
9152 10
7849 10
4600 11
25 13
12406 14
3332 13
2944 8
8001 13
2928 14
4523 10
2408 13
3407 14
3099 14
12162 12
4154 11
2786 11
8315 18
2484 15
10999 7
5306 8
8844 9
11018 9
12207 13
6992 14
4397 13
4188 10
2829 16
5215 11
8609 16
8701 15
9366 11
2271 12
6928 11
11729 12
10063 12
1109 15
2587 10
8024 16
6311 13
1946 13
1947 12
4318 11
11416 10
8327 16
856 16
10034 10
1343 5
9958 9
5311 16
6885 16
10430 15
9319 14
1051 9
2973 9
6861 13
5516 10
2100 15
9835 15
11292 12
6812 16
7736 10
796 13
10609 13
4659 13
10945 10
617 15
4121 12
2266 9
266 18
12344 10
12014 12
9004 11
3790 10
3593 12
12104 11
6022 12
11778 18
475 14
6751 11
11335 13
3706 8
2592 12
2359 12
5840 15
3985 14
2755 14
3937 16
12358 12
11698 13
9045 12
2989 11
9576 11
5604 8
3844 13
8641 14
909 10
9950 13
9595 12
12198 13
4530 12
2134 17
1478 11
5263 10
5891 15
3464 15
11960 13
175 9
11 8
6109 7
3252 16
6691 10
6185 17
438 12
8625 9
1821 11
1543 15
2460 8
3409 13
12289 8
8776 13
1228 11
5281 11
4821 18
9658 15
3765 10
8468 6
12244 10
2895 6
9856 11
2135 13
12253 11
7374 11
6147 8
10525 10
10416 7
7505 13
5499 10
6563 8
772 9
11470 11
6091 9
6448 15
541 10
8298 9
2583 14
707 13
11358 13
5983 14
1840 16
11489 17
8188 13
4755 9
10596 13
1870 13
3772 13
11461 11
9275 10
7100 13
3048 13
12230 14
10931 18
12140 8
10421 12
5390 13
3094 12
5997 8
9429 5
4579 14
9908 11
11047 12
3281 13
2710 13
4923 9
8123 10
1251 7
6099 14
10365 10
1075 8
1021 9
10493 12
11519 8
7617 12
5657 9
994 9
10526 16
8014 10
2612 14
4416 12
5199 8
6142 9
6359 17
5134 17
8626 8
6619 8
1271 14
10233 7
3848 15
8781 14
8120 11
10049 11
6088 14
2401 10
10082 9
7698 9
5852 10
10223 12
7129 10
5893 9
